,Name,Sex,Year,Last_Status,VT_BW
80512,Maltese,2,8.0,0,3.5
80513,Pekingese,3,8.0,0,7.0
80514,Shih Tzu,2,10.0,0,3.7
80515,Shih Tzu,2,10.0,0,3.7
80516,Shih Tzu,2,10.0,0,3.6
80517,Shih Tzu,2,10.0,0,3.7
80518,Shih Tzu,2,10.0,0,3.7
80519,Shih Tzu,2,10.0,0,3.4
80520,Shih Tzu,2,10.0,0,6.9
80521,Maltese,1,0.0,0,1.59
80522,Maltese,3,9.0,0,5.0
80523,Maltese,3,9.0,0,5.1
80524,Maltese,3,9.0,0,5.0
80525,Maltese,3,9.0,0,4.8
80526,Maltese,3,9.0,0,4.85
80527,Maltese,3,9.0,0,5.2
80528,Maltese,3,10.0,0,5.2
80529,Maltese,3,10.0,0,5.3
80530,Maltese,3,12.0,0,4.95
80531,Poodle,1,0.0,0,5.0
80532,Pomeranian,2,1.0,0,2.2
80533,Poodle,2,,2,2.52
80534,Poodle,2,,2,2.56
80535,Poodle,2,,2,2.3
80536,Poodle,2,,2,2.4
80537,Welsh Corgi,1,1.0,0,13.7
80538,Poodle,3,1.0,0,8.6
80539,Poodle,3,2.0,0,9.3
80540,Poodle,3,5.0,0,8.0
80541,Poodle,3,5.0,0,8.0
80542,Miniature Schnauzer,4,8.0,0,7.3
80543,Miniature Schnauzer,4,11.0,0,8.4
80544,Miniature Schnauzer,4,11.0,0,8.7
80545,Miniature Schnauzer,4,11.0,0,8.5
80546,Miniature Schnauzer,4,11.0,0,8.4
80547,Miniature Schnauzer,4,11.0,0,8.7
80548,Miniature Schnauzer,4,11.0,0,8.5
80549,Miniature Schnauzer,4,12.0,0,8.6
80550,Miniature Schnauzer,4,12.0,0,8.8
80551,Miniature Schnauzer,4,12.0,0,9.0
80552,Miniature Schnauzer,4,12.0,0,8.9
80553,Dachshund,4,6.0,0,4.48
80554,Dachshund,4,6.0,0,4.55
80555,Dachshund,4,6.0,0,4.0
80556,Dachshund,4,6.0,0,4.0
80557,Dachshund,4,6.0,0,4.1
80558,Dachshund,4,7.0,0,5.0
80559,Chihuahua,1,0.0,0,1.3
80560,Pomeranian,1,0.0,0,2.0
80561,Shih Tzu,3,12.0,0,6.7
80562,Shih Tzu,3,12.0,0,6.9
80563,Shih Tzu,3,12.0,0,6.7
80564,Shih Tzu,3,12.0,0,6.6
80565,Shih Tzu,3,12.0,0,6.9
80566,Shih Tzu,3,7.0,0,5.7
80567,Shih Tzu,3,7.0,0,5.9
80568,Shih Tzu,4,7.0,0,4.5
80569,Bichon Frise,2,2.0,0,4.0
80570,Bichon Frise,2,2.0,0,4.4
80571,Bichon Frise,2,2.0,0,4.93
80572,Golden Retriever,2,2.0,0,17.0
80573,Bichon Frise,3,6.0,0,7.2
80574,Bichon Frise,3,6.0,0,7.2
80575,Bichon Frise,3,6.0,0,7.1
80576,Bichon Frise,3,6.0,0,7.0
80577,Bichon Frise,3,6.0,0,7.2
80578,Bichon Frise,3,7.0,0,7.1
80579,Bichon Frise,3,7.0,0,6.9
80580,Bichon Frise,3,8.0,0,7.25
80581,Bichon Frise,3,8.0,0,7.0
80582,Bichon Frise,3,8.0,0,7.4
80583,Bichon Frise,3,10.0,0,6.9
80584,Welsh Corgi,4,0.0,0,4.6
80585,Welsh Corgi,4,0.0,0,5.6
80586,Welsh Corgi,4,0.0,0,7.0
80587,Welsh Corgi,4,0.0,0,8.4
80588,Welsh Corgi,4,0.0,0,9.5
80589,Welsh Corgi,4,1.0,0,10.3
80590,Shih Tzu,3,10.0,0,9.7
80591,Shih Tzu,3,10.0,0,9.7
80592,Maltese,4,1.0,0,3.8
80593,Maltese,4,1.0,0,3.7
80594,Pekingese,1,0.0,0,0.87
80597,Mixed,3,4.0,0,20.0
80598,Mixed,3,4.0,0,21.0
80599,Mixed,3,4.0,0,20.23
80600,Mixed,3,5.0,0,20.0
80601,Mixed,3,5.0,0,22.0
80602,Mixed,3,8.0,0,21.0
80603,Maltese,3,1.0,0,2.2
80604,Maltese,3,2.0,0,3.1
80605,Maltese,3,3.0,0,4.0
80606,Pekingese,2,10.0,2,4.73
80607,Pomeranian,4,13.0,0,3.3
80608,Pomeranian,4,13.0,0,2.6
80609,Maltese,3,10.0,2,4.26
80610,Maltese,3,10.0,2,4.04
80611,Maltese,3,10.0,2,4.1
80612,Maltese,3,10.0,2,3.9
80613,Shih Tzu,4,13.0,0,4.1
80614,Shih Tzu,4,15.0,0,4.4
80615,Shih Tzu,4,15.0,0,3.6
80616,Shih Tzu,4,15.0,0,3.3
80617,Shih Tzu,4,15.0,0,3.3
80618,Shih Tzu,4,15.0,0,3.2
80619,Shih Tzu,4,15.0,0,3.14
80620,Shih Tzu,4,15.0,0,3.12
